транспорт;пункт;дата;время;пункт;дата;время
Автобус №590, VVT;Neustift i. St. Grawa Alm;26.08;14:34(CEST);Innsbruk Hbf.;26.08;15:51(CEST)
Автобус №491, FlixBUS;Innsbruck Südbahnstraße;28.08;01:45(CEST);Verona Porto Nuova;28.08;05:50(CEST);
Самолет S7-698;Verona Villafranca;28.08;15:15(CEST);Москва Домодедово;28.08;19:40;
Самолет 9U-886, 9U-173 (пересадка в Кишиневе);Verona Villafranca;31.08;22:00(CEST);Москва Домодедово;01.09;8:50
газель;Москва Домодедово;01.09;10:00;Нижний Новгород;01.09;17:30
